strategy,request_id,time_seconds,osnr_dB,ber,log10_ber,min_sun_angle_deg,max_link_distance_km,load
QoT-GLR,3,600.0,17.844608622391593,5.294703297882242e-13,-12.276158371666568,47.51965557361947,3899.7420517990677,Low
QoT-GLR,4,600.0,16.145778287249485,2.352107066082499e-09,-8.628542913399246,41.8883859001307,3899.742051799073,Low
QoT-GLR,5,600.0,18.190444440494257,6.223490681050903e-14,-13.20596595642003,33.52008122952886,3899.742051799075,Low
QoT-GLR,6,600.0,15.322509285023493,4.974864091257594e-08,-7.30321877928471,38.62243548671595,3899.742051799073,Low
QoT-GLR,7,600.0,16.128588763183593,2.521744902327655e-09,-8.5982988484191,29.769857570940932,3899.7420517990713,Low
QoT-GLR,8,600.0,18.600817166471565,3.9081441637795096e-15,-14.408029424385418,29.76985757094097,3899.742051799075,Low
QoT-GLR,9,600.0,14.45583895388979,7.116544111740963e-07,-6.147730854335611,27.83212768391545,3899.7420517990754,Low
QoT-GLR,10,600.0,15.312036512515233,5.153687288037332e-08,-7.287881936813441,36.59045243361734,3899.7420517990727,Low
QoT-GLR,1,900.0,17.591213698587936,2.293025284974472e-12,-11.639591156319192,40.380886883278855,3899.7420517990713,Low
QoT-GLR,2,900.0,18.242066511651874,4.455487905447895e-14,-13.35110473089953,31.234216533484062,3899.742051799073,Low
QoT-GLR,3,900.0,17.323216101447578,9.88940179373034e-12,-11.004829977921458,47.66748457965894,3899.742051799076,Low
QoT-GLR,4,900.0,16.143640937540322,2.372597092620307e-09,-8.62477600611819,46.15650014650546,3899.742051799073,Low
QoT-GLR,5,900.0,17.504185455439014,3.721891986137048e-12,-11.429236234780031,45.894658736076956,3899.742051799076,Low
QoT-GLR,6,900.0,-21.39049945183013,0.46900035505529036,-0.3288268285034775,6.980250129223433,3899.742051799073,Low
QoT-GLR,7,900.0,16.09831786773722,2.848908475540509e-09,-8.54532150274585,29.409545567716915,3899.742051799073,Low
QoT-GLR,8,900.0,18.65931710363156,2.5782531923254573e-15,-14.588674435845912,20.853443202142845,3899.742051799076,Low
QoT-GLR,9,900.0,14.366359300273885,9.106893097866991e-07,-6.040629761401423,34.74311412196786,3899.742051799073,Low
QoT-GLR,10,900.0,15.558126387997826,2.1982389001873478e-08,-7.657925111095854,20.8534432021429,3899.742051799075,Low
QoT-GLR,1,1200.0,18.04700702446749,1.5435696687293888e-13,-12.811473763938992,30.94290015114779,3899.7420517990686,Low
QoT-GLR,2,1200.0,18.583504963563094,4.415419562693751e-15,-14.355028022526897,31.252509803787774,3899.742051799072,Low
QoT-GLR,3,1200.0,16.957699273442106,6.328588575463643e-11,-10.198693137097417,51.403942979845844,3899.742051799072,Low
QoT-GLR,4,1200.0,16.136645645806915,2.4408439310054066e-09,-8.612459988739323,52.04503405053078,3899.742051799073,Low
QoT-GLR,5,1200.0,17.34156298253504,8.972811484302678e-12,-11.04707145653155,59.74354087970801,3899.742051799077,Low
QoT-GLR,6,1200.0,15.540304144479528,2.341871112329422e-08,-7.630437010520881,15.84771598607644,3899.742051799073,Low
QoT-GLR,7,1200.0,16.068618079346397,3.2085434343514324e-09,-8.493692077248129,32.74121522187101,3899.742051799074,Low
QoT-GLR,8,1200.0,18.540884074578415,5.950768004563866e-15,-14.225426980721881,36.92731652713907,3899.742051799077,Low
QoT-GLR,9,1200.0,14.256144279993899,1.2257484264600887e-06,-5.911598655601783,39.900387968062766,3899.742051799076,Low
QoT-GLR,10,1200.0,15.65043327105115,1.5773896017007835e-08,-7.802061026410245,30.94290015114783,3899.7420517990745,Low
QoT-GLR,1,1500.0,15.979404378805043,4.5639747273294425e-09,-8.340656769120553,11.87076091418978,3899.7420517990686,Low
QoT-GLR,2,1500.0,18.830959843413172,7.366410301120518e-16,-15.13274409507248,29.17273048811737,3899.742051799072,Low
QoT-GLR,3,1500.0,16.796436943814534,1.3689746093771595e-10,-9.86360460673062,52.99226441623745,3899.7420517990713,Low
QoT-GLR,4,1500.0,16.1261177129226,2.5470604627387504e-09,-8.593960745526322,41.67313790653027,3899.742051799076,Low
QoT-GLR,5,1500.0,17.693272478583296,1.2835042652138422e-12,-11.89160268378587,64.9067990783995,3899.742051799073,Low
QoT-GLR,6,1500.0,15.52038737028331,2.5127672379731296e-08,-7.599847739002198,22.355959440037225,3899.742051799076,Low
QoT-GLR,7,1500.0,16.040092205478405,3.593965674773087e-09,-8.444426075064504,33.05214999778267,3899.7420517990727,Low
QoT-GLR,8,1500.0,18.324504833650813,2.591596790843313e-14,-13.586432566510283,48.49483891304008,3899.742051799073,Low
QoT-GLR,9,1500.0,14.189765445327026,1.4608474897986778e-06,-5.835395121366271,53.14829854577973,3899.742051799076,Low
QoT-GLR,10,1500.0,14.148167490521102,1.628514432702057e-06,-5.7882083881491,11.870760914189935,3899.742051799072,Low
QoT-GLR,1,1800.0,18.370064048895575,1.9125675860049347e-14,-13.718383208874805,37.07104020189388,3899.7420517990677,Low
QoT-GLR,2,1800.0,18.88088030136376,5.069920050705955e-16,-15.294998889150097,34.80349972123861,3899.7420517990754,Low
QoT-GLR,3,1800.0,16.948419137988772,6.62097455307753e-11,-10.179078081274286,50.481561266612275,3899.7420517990704,Low
QoT-GLR,4,1800.0,16.11346678738223,2.6804716231512344e-09,-8.571788786078692,34.80886973938434,3899.742051799076,Low
QoT-GLR,5,1800.0,18.414840591627634,1.4144876077922597e-14,-13.84940085300799,61.60769398448512,3899.742051799077,Low
QoT-GLR,6,1800.0,15.415595845744704,3.6213681306616024e-08,-7.441127324675252,34.80886973938434,3899.742051799076,Low
QoT-GLR,7,1800.0,16.03257816055511,3.702531880016229e-09,-8.431501193372446,40.101217111232685,3899.742051799072,Low
QoT-GLR,8,1800.0,18.049336885857024,1.5213189092045667e-13,-12.81777973664388,61.564869888183665,3899.742051799077,Low
QoT-GLR,9,1800.0,14.18449086956099,1.481194892991813e-06,-5.829387794022877,53.04205506978457,3899.7420517990704,Low
QoT-GLR,10,1800.0,15.290820151717037,5.534503211604126e-08,-7.256921356202043,34.80886973938434,3899.7420517990777,Low
QoT-GLR,1,2100.0,18.03264999767003,1.6877631523826641e-13,-12.772688498960557,28.96975772570158,3899.742051799067,Low
QoT-GLR,2,2100.0,18.709741764498187,1.7934196728251676e-15,-14.746318070579889,41.58982995840847,3899.742051799074,Low
QoT-GLR,3,2100.0,17.420875932150683,5.865355710131269e-12,-11.23170564454373,51.08684195673279,3899.7420517990668,Low
QoT-GLR,4,2100.0,16.102203064730258,2.804781840620825e-09,-8.552100913052797,34.185239256312336,3899.742051799074,Low
QoT-GLR,5,2100.0,19.370089846367325,1.032112150084975e-17,-16.986273109378644,54.33659162626377,3899.7420517990704,Low
QoT-GLR,6,2100.0,15.279036459205509,5.7571970705635796e-08,-7.239788904261478,28.96975772570158,3899.742051799074,Low
QoT-GLR,7,2100.0,16.026943687771688,3.7859630094365225e-09,-8.42182363360415,50.84632352470526,3899.742051799071,Low
QoT-GLR,8,2100.0,17.88905339783798,4.0586556852685383e-13,-12.391617790350752,75.01882528910087,3899.7420517990745,Low
QoT-GLR,9,2100.0,14.240171100745256,1.278913760997734e-06,-5.893158739638265,53.216358978693954,3899.7420517990813,Low
QoT-GLR,10,2100.0,14.991859724391398,1.459200573567613e-07,-6.835885008307599,28.96975772570158,3899.742051799072,Low
QoT-GLR,1,2400.0,17.576421365451186,2.4914690987751188e-12,-11.60354449493269,48.255541134438865,3899.7420517990754,Low
